# q	Intensity	Error	qError
1.012526857894109761e-01 3.039415567786877270e-01 1.141552277038768298e-01 2.461688588777527780e-04
1.062075198078376997e-01 2.094722163277110694e-01 1.077347407355074144e-01 2.461805727274650403e-04
1.115990460281094110e-01 4.009073812734424980e-01 9.163345160741583062e-02 1.988195706222436923e-04
1.172091543696254234e-01 2.233469024290770100e-01 9.240890141845074790e-02 2.080842430847384364e-04
1.226215541870122883e-01 2.404479574468594283e-01 8.444928302395877939e-02 1.870200939598165796e-04
1.280769364623562390e-01 2.301165591405349431e-01 8.093741801892477550e-02 1.870319296716804779e-04
1.335408354674903764e-01 3.309006337452496949e-01 8.028093257542280592e-02 1.771055463849752340e-04
1.389421135791970296e-01 2.506332852658652022e-01 7.014680705053258358e-02 1.612228960067861637e-04
1.443336255740633456e-01 2.496696498978976386e-01 6.801789859028858909e-02 1.612342846022426601e-04
1.496057354204454459e-01 2.879630482895342292e-01 6.408970767772054211e-02 1.508316772373681340e-04
1.550666720004082733e-01 2.159848299860119281e-01 6.091512113483991270e-02 1.454861829746994747e-04
1.605937719545926512e-01 1.694210901277500569e-01 5.858931744565153144e-02 1.391688659055648680e-04
1.659348314812816860e-01 2.507892371404437659e-01 5.795541262151964607e-02 1.391800870677797496e-04
1.712193287545253351e-01 2.542472829945986446e-01 5.747895998179068655e-02 1.391915498491961385e-04
1.766197269069877673e-01 2.122794108177042116e-01 5.056036443104357236e-02 1.298681451706804599e-04
1.822130438270916919e-01 2.037308697169830651e-01 5.236882032600274905e-02 1.310997483244401469e-04
1.876353530473894027e-01 2.556913175235782654e-01 5.224842133628201934e-02 1.298922237238606949e-04
1.929600154609199536e-01 2.258018752975578525e-01 5.135533405707129462e-02 1.287180172846345762e-04
1.983284431956512939e-01 2.578840909129578307e-01 5.232600208492851901e-02 1.275759485956587261e-04
2.036258615635219427e-01 2.190464615268420401e-01 5.009246382995905661e-02 1.243024016279451111e-04
